,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1001.0,1001.0,0.0,9419.0,9.41,299.26,2818750.0
1,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1800.0,1800.0,0.0,37795.0,21.0,6.04,228365.0
2,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,19.0,19.0,0.0,137.0,7.21,39.99,5479.0
3,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,4.0,4.0,0.0,60.0,15.0,6.0,360.0
4,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,3.0,3.0,0.0,54.0,18.0,3.96,214.0
5,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,24.0,24.0,0.0,278.0,11.58,21.92,6093.0
6,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,8.0,8.0,0.0,40.0,5.0,151.73,6069.0
7,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,5.0,5.0,0.0,7.0,1.4,105.0,735.0
8,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),164.0,164.0,0.0,4549.0,27.74,8.9,40469.0
9,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,4.0,4.0,0.0,60.0,15.0,69.0,4140.0
10,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,34.0,34.0,0.0,625.0,18.38,37.72,23577.0
11,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,52.0,52.0,0.0,121.0,2.33,65.5,7925.0
12,1986,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,7.0,7.0,0.0,102.0,14.57,38.0,3876.0
13,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5270000,Alpiste,6.0,6.0,0.0,9.0,1.5,250.0,2250.0
14,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,49.0,49.0,0.0,1190.0,24.29,7.05,8393.0
15,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,329.0,329.0,0.0,3148.0,9.57,81.56,256765.0
16,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,216.0,216.0,0.0,3823.0,17.7,38.59,147522.0
17,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,11.0,11.0,0.0,266.0,24.18,49.62,13200.0
18,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,99.0,99.0,0.0,1389.0,14.03,46.7,64870.0
19,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,4.0,2.0,2.0,14.0,7.0,50.0,700.0
20,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,2103.0,2097.0,6.0,13687.0,6.53,160.73,2199947.0
21,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,11.0,11.0,0.0,74.0,6.73,80.0,5920.0
22,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),311.0,311.0,0.0,16895.0,54.32,26.24,443380.0
23,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,116.0,116.0,0.0,963.0,8.3,91.65,88260.0
24,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,169.0,137.0,32.0,2349.0,17.15,21.9,51453.0
25,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,4406.0,4400.0,6.0,7181.0,1.63,227.56,1634100.0
26,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,26.0,26.0,0.0,494.0,19.0,67.23,33210.0
27,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,4717.0,4717.0,0.0,187009.0,39.65,7.0,1308779.0
28,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,11680.0,10720.0,960.0,41043.0,3.83,96.04,3941611.0
29,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,150.0,150.0,0.0,3621.0,24.14,125.85,455695.0
30,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,55.0,55.0,0.0,875.0,15.91,31.26,27350.0
31,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,659.0,659.0,0.0,17861.0,27.1,8.37,149504.0
32,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,696.0,691.0,5.0,4007.0,5.8,85.4,342195.0
33,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),30.0,30.0,0.0,688.0,22.93,101.57,69880.0
34,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,39.0,39.0,0.0,673.0,17.26,52.51,35340.0
35,1986,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,5.0,5.0,0.0,45.0,9.0,45.0,2025.0
36,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,493.0,140.0,353.0,600.0,4.29,7.15,4288.0
37,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5900000,Cebada forrajera en verde,17.0,2.0,15.0,5.0,2.5,7.6,38.0
38,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,6.0,3.0,3.0,1.0,0.33,183.0,183.0
39,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,23729.0,2343.0,21386.0,522.0,0.22,263.14,137360.0
40,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6940000,Girasol,102.0,44.0,58.0,13.0,0.3,183.15,2381.0
41,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,10218.0,2113.0,8105.0,11673.0,5.52,8.0,93383.0
42,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,74232.0,10141.0,64091.0,5367.0,0.53,96.05,515516.0
43,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7750000,Mijo forrajero verde,64.0,25.0,39.0,174.0,6.96,9.9,1722.0
44,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,617.0,361.0,256.0,2074.0,5.75,8.32,17255.0
45,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,62.0,57.0,5.0,216.0,3.79,81.27,17554.0
46,1986,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,9050000,Trigo grano,57.0,15.0,42.0,8.0,0.53,55.88,447.0
47,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,8.0,8.0,0.0,40.0,5.0,200.0,8000.0
48,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,6365.0,6365.0,0.0,420715.0,66.1,6.53,2745182.0
49,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,20.0,15.0,0.0,103.0,6.87,215.53,22200.0
51,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,1746.0,1679.0,0.0,15275.0,9.1,275.38,4206475.0
52,1986,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7010000,Granada,10.0,10.0,0.0,50.0,5.0,80.0,4000.0
