,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,698.0,698.0,0.0,5650.0,8.09,1624.07,9175996.0
1,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2305.0,2305.0,0.0,59959.0,26.01,85.01,5097115.0
2,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,195.0,195.0,0.0,1753.0,8.99,896.18,1571004.0
3,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,12.0,12.0,0.0,185.0,15.42,1302.7,241000.0
4,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,108.0,108.0,0.0,2195.0,20.32,786.79,1727004.0
5,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,25.0,25.0,0.0,121.0,4.84,1636.36,198000.0
6,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,6.0,6.0,0.0,36.0,6.0,638.89,23000.0
7,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),158.0,158.0,0.0,5681.0,35.96,183.07,1040021.0
8,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,155.0,155.0,0.0,1866.0,12.04,1039.12,1938998.0
9,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,18.0,18.0,0.0,270.0,15.0,600.0,162000.0
10,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7100000,Haba grano,4.0,4.0,0.0,6.0,1.5,800.0,4800.0
11,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,165.0,165.0,0.0,2574.0,15.6,276.61,711994.0
12,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8210000,Pepino,3.0,2.0,1.0,70.0,35.0,400.0,28000.0
13,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,5.0,5.0,0.0,30.0,6.0,600.0,18000.0
14,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,15.0,15.0,0.0,222.0,14.8,653.15,144999.0
15,1994,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1438.0,1438.0,0.0,83392.0,57.99,86.6,7221747.0
16,1994,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,7.0,7.0,0.0,210.0,30.0,61.0,12810.0
17,1994,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,301.0,301.0,0.0,3081.0,10.24,654.0,2014974.0
18,1994,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,87.0,87.0,0.0,1577.0,18.13,976.0,1539152.0
19,1994,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,8.0,8.0,0.0,120.0,15.0,800.0,96000.0
