,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,614.0,612.0,2.0,5468.22,8.94,5369.0,29358873.18
1,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3263.0,3263.0,0.0,82553.9,25.3,242.0,19978043.8
2,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,149.0,149.0,0.0,1668.95,11.2,2203.0,3676696.85
3,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,33.0,33.0,0.0,554.0,16.79,1586.0,878644.0
4,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,14.0,14.0,0.0,63.99,4.57,2219.0,141993.81
5,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,47.0,47.0,0.0,658.0,14.0,1008.0,663264.0
6,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),90.0,90.0,0.0,3420.0,38.0,2091.0,7151220.0
7,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,60.0,60.0,0.0,805.0,13.42,1834.0,1476370.0
8,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,39.0,39.0,0.0,761.01,19.51,2100.0,1598121.0
9,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,149.0,149.0,0.0,2578.0,17.3,1640.0,4227920.0
10,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,10.0,10.0,0.0,21.0,2.1,1350.0,28350.0
11,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,110.0,110.0,0.0,1958.0,17.8,1200.0,2349600.0
12,1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1234.0,1234.0,0.0,70338.0,57.0,285.0,20046330.0
13,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,17.0,17.0,0.0,385.0,22.65,300.0,115500.0
14,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,127.0,127.0,0.0,1460.8,11.5,2382.0,3479625.6
15,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5690000,Cacahuate,2.0,2.0,0.0,2.4,1.2,4655.0,11172.0
16,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,194.0,194.0,0.0,3489.8,17.99,1987.0,6934232.6
17,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,9.0,9.0,0.0,24.0,2.67,1948.2,46756.8
18,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,26.0,26.0,0.0,433.0,16.65,1136.0,491888.0
19,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,1.0,1.0,0.0,25.0,25.0,480.6,12015.0
20,1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,123.0,123.0,0.0,3122.0,25.38,1644.0,5132568.0
