,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,592.0,592.0,0.0,5017.0,8.47,3663.3,18378776.0
1,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2462.0,2462.0,0.0,65759.0,26.71,87.4,5747337.0
2,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,153.0,153.0,0.0,1398.0,9.14,948.2,1325584.0
3,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,8.0,8.0,0.0,18.0,2.25,550.0,9900.0
4,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,89.0,89.0,0.0,1534.0,17.24,1082.9,1661169.0
5,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,52.0,52.0,0.0,246.0,4.73,2105.2,517879.0
6,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,5.0,5.0,0.0,25.0,5.0,650.0,16250.0
7,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),114.0,114.0,0.0,4301.0,37.73,283.1,1217613.0
8,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,104.0,104.0,0.0,1259.0,12.11,917.6,1155258.0
9,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,30.0,30.0,0.0,406.0,13.53,936.5,380219.0
10,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,120.0,120.0,0.0,1815.0,15.13,569.0,1032735.0
11,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,45.0,45.0,0.0,544.0,12.09,756.6,411590.0
12,1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,970.0,970.0,0.0,50453.0,52.01,92.9,4687084.0
13,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,13.0,13.0,0.0,390.0,30.0,80.5,31395.0
14,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,350.0,350.0,0.0,3626.0,10.36,1155.9,4191293.0
15,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,317.0,315.0,2.0,5230.0,16.6,1170.1,6119623.0
16,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,12.0,12.0,0.0,215.0,17.92,824.2,177203.0
17,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,59.0,59.0,0.0,1111.0,18.83,1253.3,1392416.0
18,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,23.0,23.0,0.0,115.0,5.0,1280.0,147200.0
19,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,1400.0,1400.0,0.0,9509.0,6.79,1769.33,16824540.0
20,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,5.0,5.0,0.0,25.0,5.0,750.0,18750.0
21,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),195.0,195.0,0.0,9229.0,47.33,460.0,4245340.0
22,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,124.0,124.0,0.0,1411.0,11.38,1526.3,2153609.0
23,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,59.0,59.0,0.0,389.0,6.59,710.7,276462.0
24,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,225.0,225.0,0.0,4089.0,18.17,490.2,2004428.0
25,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,1952.0,1952.0,0.0,3715.0,1.9,2284.9,8488404.0
26,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,186.0,186.0,0.0,3371.0,18.12,591.8,1994958.0
27,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,10235.0,10235.0,0.0,454244.0,44.38,105.9,48104440.0
28,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,12502.0,12496.0,6.0,58183.0,4.66,1130.0,65746790.0
29,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,746.0,746.0,0.0,19597.0,26.27,1384.0,27122248.0
30,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,21.0,21.0,0.0,617.0,29.38,704.2,434491.0
31,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,3.0,3.0,0.0,20.0,6.67,550.0,11000.0
32,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,2.0,2.0,0.0,20.0,10.0,800.0,16000.0
33,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,105.0,105.0,0.0,3640.0,34.67,86.0,313040.0
34,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,144.0,144.0,0.0,972.0,6.75,1123.0,1091556.0
35,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),218.0,218.0,0.0,4811.0,22.07,1894.0,9112034.0
36,1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,308.0,308.0,0.0,5225.0,16.96,1492.2,7796745.0
37,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,110.0,110.0,0.0,1100.0,10.0,77.0,84700.0
38,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,400.0,400.0,0.0,260.0,0.65,850.0,221000.0
39,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,18355.0,17906.0,449.0,4515.0,0.25,2231.0,10072965.0
40,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,32392.0,32354.0,38.0,358654.0,11.09,83.8,30055205.0
41,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,54967.0,51520.0,3447.0,27379.0,0.53,1067.1,29216131.0
42,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,210.0,210.0,0.0,2274.0,10.83,86.7,197156.0
43,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,353.0,353.0,0.0,251.0,0.71,900.0,225900.0
44,1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,9050000,Trigo grano,121.0,121.0,0.0,61.0,0.5,1500.0,91500.0
45,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,4.0,4.0,0.0,20.0,5.0,2100.0,42000.0
46,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,7997.0,7997.0,0.0,739515.0,92.47,135.0,99834525.0
47,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,15.0,11.0,0.0,81.0,7.36,2200.0,178200.0
48,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,11.0,11.0,0.0,88.0,8.0,2800.0,246400.0
49,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,623.0,510.0,0.0,6757.0,13.25,3605.0,24358985.0
50,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6820000,Fresa,11.0,11.0,0.0,103.0,9.36,3250.0,334750.0
51,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7060000,Guayaba,7679.0,7594.0,0.0,106138.0,13.98,1950.0,206969100.0
52,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,5.0,3.0,0.0,28.0,9.33,870.0,24360.0
53,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7390000,Limón,4.0,4.0,0.0,36.0,9.0,860.0,30960.0
54,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,10.0,10.0,0.0,100.0,10.0,1550.0,155000.0
55,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,8.0,8.0,0.0,69.0,8.63,1100.0,75900.0
56,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,2.0,2.0,0.0,18.0,9.0,660.0,11880.0
57,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,38.0,24.0,0.0,618.0,25.75,1100.0,679800.0
58,1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,147.0,145.0,0.0,220.0,1.52,9250.0,2035000.0
