,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1148.0,1148.0,0.0,8687.0,7.57,1872.62,16267441.0
1,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,57.0,57.0,0.0,86.0,1.51,994.19,85500.0
2,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2894.0,2894.0,0.0,70756.0,24.45,38.35,2713537.0
3,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,180.0,180.0,0.0,2399.0,13.33,490.33,1176300.0
4,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,8.0,8.0,0.0,160.0,20.0,40.0,6400.0
5,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,53.0,53.0,0.0,918.0,17.32,282.45,259290.0
6,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,6.0,6.0,0.0,18.0,3.0,672.67,12108.0
7,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,4.0,4.0,0.0,22.0,5.5,309.09,6800.0
8,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),102.0,102.0,0.0,3092.0,30.31,220.82,682780.0
9,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,65.0,65.0,0.0,975.0,15.0,650.0,633750.0
10,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,29.0,29.0,0.0,368.0,12.69,480.22,176720.0
11,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,60.0,60.0,0.0,900.0,15.0,500.0,450000.0
12,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,89.0,89.0,0.0,1029.0,11.56,174.93,180000.0
13,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,77.0,77.0,0.0,235.0,3.05,382.13,89800.0
14,1989,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,64.0,64.0,0.0,784.0,12.25,488.02,382604.0
15,1989,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,55.0,55.0,0.0,1212.0,22.04,46.72,56630.0
16,1989,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,316.0,316.0,0.0,2767.0,8.76,591.04,1635400.0
17,1989,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,248.0,248.0,0.0,3308.0,13.34,526.46,1741514.0
18,1989,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,15.0,15.0,0.0,261.0,17.4,394.82,103049.0
