,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1090.0,1081.0,9.0,8844.0,8.18,2321.0,20526924.0
1,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2726.0,2726.0,0.0,70019.0,25.69,94.03,6583887.0
2,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,263.0,263.0,0.0,2361.0,8.98,1344.0,3173184.0
3,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,30.0,20.0,10.0,255.0,12.75,1040.0,265200.0
4,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,10.0,10.0,0.0,35.0,3.5,700.0,24500.0
5,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,30.0,30.0,0.0,428.0,14.27,605.25,259047.0
6,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,11.0,7.0,4.0,34.0,4.86,1836.91,62455.0
7,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,6.0,6.0,0.0,36.0,6.0,950.0,34200.0
8,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),85.0,85.0,0.0,2858.0,33.62,308.34,881236.0
9,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,196.0,196.0,0.0,2303.0,11.75,1096.06,2524226.0
10,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,50.0,50.0,0.0,705.0,14.1,900.0,634500.0
11,1993,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,146.0,138.0,8.0,1906.0,13.81,381.3,726758.0
