,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,750.0,750.0,0.0,6104.0,8.14,5000.0,30520000.0
1,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3266.0,3146.0,120.0,55918.0,17.77,218.99,12245482.82
2,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,159.0,139.0,20.0,1188.0,8.55,2119.81,2518334.28
3,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,5.0,0.0,5.0,0.0,0.0,0.0,0.0
4,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,2.0,2.0,0.0,40.0,20.0,250.0,10000.0
5,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,12.0,12.0,0.0,48.0,4.0,1500.0,72000.0
6,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,53.0,53.0,0.0,916.0,17.28,6000.0,5496000.0
7,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,2.0,2.0,0.0,10.0,5.0,2000.0,20000.0
8,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,12.0,12.0,0.0,54.0,4.5,1800.0,97200.0
9,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),81.0,78.0,3.0,3378.0,43.31,690.0,2330820.0
10,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,149.0,93.0,56.0,1103.0,11.86,1800.0,1985400.0
11,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6540000,Ebo (janamargo o veza),7.0,7.0,0.0,56.0,8.0,420.0,23520.0
12,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,42.0,42.0,0.0,504.0,12.0,1900.0,957600.0
13,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,87.0,40.0,47.0,624.0,15.6,1200.0,748800.0
14,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,2.0,2.0,0.0,14.0,7.0,1600.0,22400.0
15,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,15.0,15.0,0.0,33.0,2.2,1800.0,59400.0
16,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,37.0,37.0,0.0,444.0,12.0,700.0,310800.0
17,1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1110.0,1110.0,0.0,54390.0,49.0,197.52,10743112.8
18,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,10.0,10.0,0.0,278.0,27.8,195.0,54210.0
19,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,99.0,99.0,0.0,1091.0,11.02,2337.0,2549667.0
20,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,129.0,129.0,0.0,2339.0,18.13,1703.0,3983317.0
21,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,16.0,16.0,0.0,295.0,18.44,2500.0,737500.0
22,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,12.0,12.0,0.0,307.0,25.58,190.0,58330.0
23,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,61.0,61.0,0.0,1102.0,18.07,1844.0,2032088.0
24,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,13.0,13.0,0.0,69.0,5.31,2720.0,187680.0
25,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,1588.0,1588.0,0.0,12446.0,7.84,5347.82,66558996.0
26,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),110.0,110.0,0.0,5127.0,46.61,1250.0,6408750.0
27,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,48.0,48.0,0.0,563.0,11.73,2799.0,1575837.0
28,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,32.0,32.0,0.0,234.0,7.31,2863.0,669942.0
29,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,315.0,315.0,0.0,5309.0,16.85,729.0,3870261.0
30,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,2447.0,2447.0,0.0,4788.78,1.96,5455.0,26122794.9
31,1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,139.0,139.0,0.0,2526.0,18.17,1988.0,5021688.0
