,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,Unnamed: 18
149,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5620000,Semilla de berenjena,0.6,0.6,0.0,0.01,0.02,1310000.0,13100.0,
150,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,23.0,23.0,0.0,586.07,25.48,3921.17,2298080.1,
151,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,46.0,46.0,0.0,547.04,11.89,4061.77,2221948.03,
152,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,548.5,548.5,0.0,6866.86,12.52,3167.94,21753795.2,
153,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5750000,Semilla de calabacita,11.0,11.0,0.0,4.4,0.4,290000.0,1276000.0,
154,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,6.0,6.0,0.0,84.0,14.0,843.67,70868.04,
155,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5930000,Semilla de cebada grano,136.0,136.0,0.0,455.6,3.35,3000.0,1366800.0,
156,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,4457.0,4457.0,0.0,95934.88,21.52,4098.89,393226598.6,
157,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6050000,Chayote,8.0,8.0,0.0,56.0,7.0,4000.0,224000.0,
158,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,26.0,26.0,0.0,200.04,7.69,7786.44,1557599.98,
159,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,568.5,568.0,0.5,11483.6,20.22,4286.93,49229346.17,
160,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6140000,Semilla de chile verde,0.5,0.5,0.0,0.07,0.14,210300.0,14721.0,
161,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,299.0,299.0,0.0,2354.04,7.87,2804.42,6601709.52,
162,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),149.0,149.0,0.0,4050.64,27.19,1672.52,6774776.41,
163,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6320000,Col de bruselas,19.0,19.0,0.0,294.12,15.48,3626.53,1066635.0,
164,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,1.0,1.0,0.0,26.5,26.5,2500.0,66250.0,
165,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,48.0,41.0,7.0,176.2,4.3,5129.7,903852.97,
166,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,88.0,88.0,0.0,547.78,6.22,3186.47,1745484.54,
167,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6670000,Espinaca,21.0,21.0,0.0,210.0,10.0,910.0,191100.0,
168,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6750000,Flores,40.0,40.0,0.0,282.4,7.06,6311.45,1782353.48,
169,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,36.0,36.0,0.0,30.11,0.84,6133.51,184679.99,
170,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6900000,Garbanzo grano,9.0,0.0,9.0,0.0,0.0,0.0,0.0,
171,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7110000,Haba verde,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
172,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7270000,Kale,2.0,2.0,0.0,70.0,35.0,3100.0,217000.0,
173,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,9.0,9.0,0.0,240.03,26.67,2391.67,574072.55,
174,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,29.0,29.0,0.0,528.09,18.21,803.03,424072.11,
175,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,1212.0,1212.0,0.0,4532.0,3.74,1505.52,6823019.0,
176,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,357.5,357.5,0.0,6329.46,17.7,3949.87,25000564.03,
