,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,2.0,2.0,0.0,18.0,9.0,1755.0,31590.0
1,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,324.0,324.0,0.0,3690.0,11.39,7474.0,27579060.0
2,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3757.0,3757.0,0.0,99884.0,26.59,302.65,30229892.6
3,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,152.0,142.0,10.0,1681.0,11.84,3060.56,5144801.36
4,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,319.0,319.0,0.0,9086.0,28.48,263.2,2391435.2
5,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,14.0,14.0,0.0,49.0,3.5,1920.0,94080.0
6,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,52.0,52.0,0.0,923.0,17.75,1748.21,1613597.83
7,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,14.0,14.0,0.0,224.0,16.0,1265.85,283550.4
8,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),27.0,26.0,1.0,1088.0,41.85,1439.34,1566001.92
9,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,54.0,54.0,0.0,648.0,12.0,3211.11,2080799.28
10,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,40.0,40.0,0.0,760.0,19.0,3000.0,2280000.0
11,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,210.0,208.0,2.0,4724.0,22.71,1725.99,8153576.76
12,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,4.0,2.0,2.0,12.0,6.0,1331.25,15975.0
13,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,54.0,54.0,0.0,2462.0,45.59,286.58,705559.96
14,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,79.0,79.0,0.0,1300.0,16.46,1712.77,2226601.0
15,2002,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1629.0,1629.0,0.0,96240.0,59.08,303.35,29194404.0
16,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,2.0,2.0,0.0,17.0,8.5,1200.0,20400.0
17,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5370000,Apio,2.0,2.0,0.0,21.0,10.5,1000.0,21000.0
18,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,17.0,17.0,0.0,463.0,27.24,275.38,127500.94
19,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,1.0,1.0,0.0,15.0,15.0,1000.0,15000.0
20,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,131.0,131.0,0.0,1528.0,11.66,4283.76,6545585.28
21,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5690000,Cacahuate,3.0,3.0,0.0,18.0,6.0,6000.0,108000.0
22,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,147.0,144.0,3.0,3461.0,24.03,2618.09,9061209.49
23,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5770000,Calabaza semilla o chihua,2.0,2.0,0.0,6.0,3.0,10000.0,60000.0
24,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,54.0,54.0,0.0,1106.0,20.48,1796.56,1986995.36
25,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,33.0,33.0,0.0,751.0,22.76,2387.18,1792772.18
26,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,10.0,10.0,0.0,51.0,5.1,3084.35,157301.85
27,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6110000,Chile seco,1060.0,1054.0,6.0,1816.0,1.72,26235.33,47643359.28
28,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,288.0,287.0,1.0,2797.0,9.75,4392.47,12285738.59
29,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,21.0,21.0,0.0,441.0,21.0,1343.91,592664.31
30,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),42.0,42.0,0.0,1899.0,45.21,1516.47,2879776.53
31,2002,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,35.0,35.0,0.0,1205.0,34.43,2326.6,2803553.0
