,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5070000.0,Ajo,866.0,866.0,0.0,8503.0,9.82,34.21,290913.0
1,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5270000.0,Alpiste,213.0,205.0,8.0,164.0,0.8,36.4,5969.0
2,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5490000.0,Avena forrajera en verde,3171.0,3098.0,73.0,64968.0,20.97,1.72,111615.0
3,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5670000.0,Brócoli,115.0,85.0,30.0,1013.0,11.92,10.45,10590.0
4,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5740000.0,Calabacita,3.0,1.0,2.0,10.0,10.0,9.0,90.0
5,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5900000.0,Cebada forrajera en verde,156.0,156.0,0.0,4272.0,27.38,1.19,5071.0
6,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5940000.0,Cebolla,61.0,47.0,14.0,580.0,12.34,17.15,9949.0
7,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6070000.0,Chícharo,7.0,6.0,1.0,21.0,3.5,44.05,925.0
8,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6190000.0,Cilantro,3.0,3.0,0.0,22.0,7.33,12.5,275.0
9,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6310000.0,Col (repollo),184.0,179.0,5.0,5773.0,32.25,4.08,23577.0
10,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6320000.0,Col de bruselas,2.0,2.0,0.0,16.0,8.0,16.5,264.0
11,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6330000.0,Coliflor,215.0,164.0,51.0,1848.0,11.27,13.79,25480.0
12,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6540000.0,Ebo (janamargo o veza),50.0,50.0,0.0,258.0,5.16,2.45,631.0
13,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,7330000.0,Lechuga,4.0,2.0,2.0,60.0,30.0,4.6,276.0
14,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,9040000.0,Trigo forrajero verde,24.0,24.0,0.0,400.0,16.67,1.25,500.0
15,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,9050000.0,Trigo grano,75.0,74.0,1.0,289.0,3.91,14.0,4046.0
16,1983.0,1.0,Aguascalientes,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,9270000.0,Zanahoria,4.0,1.0,3.0,24.0,24.0,6.5,156.0
17,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,5270000.0,Alpiste,20.0,20.0,0.0,10.0,0.5,67.7,677.0
18,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,5490000.0,Avena forrajera en verde,118.0,113.0,5.0,2142.0,18.96,2.09,4472.0
19,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,5670000.0,Brócoli,97.0,97.0,0.0,1289.0,13.29,19.57,25223.0
20,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,5740000.0,Calabacita,123.0,117.0,6.0,2468.0,21.09,14.11,34816.0
21,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,5940000.0,Cebolla,45.0,23.0,22.0,302.0,13.13,12.96,3915.0
22,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6070000.0,Chícharo,2.0,2.0,0.0,4.0,2.0,22.0,88.0
23,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6120000.0,Chile verde,648.0,631.0,17.0,3399.0,5.39,17.55,59666.0
24,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6190000.0,Cilantro,3.0,3.0,0.0,21.0,7.0,25.0,525.0
25,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6310000.0,Col (repollo),102.0,100.0,2.0,3868.0,38.68,3.47,13441.0
26,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6330000.0,Coliflor,9.0,9.0,0.0,99.0,11.0,18.0,1782.0
27,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6610000.0,Elote,26.0,25.0,1.0,372.0,14.88,12.3,4576.0
28,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6840000.0,Frijol,2519.0,2366.0,153.0,4268.0,1.8,32.2,137442.0
29,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,6940000.0,Girasol,3.0,2.0,1.0,5.0,2.5,30.6,153.0
30,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,7470000.0,Maíz forrajero en verde,3458.0,3458.0,0.0,109146.0,31.56,1.61,176162.0
31,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,7490000.0,Maíz grano,6175.0,6137.0,38.0,22163.0,3.61,14.37,318549.0
32,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8100000.0,Papa,166.0,165.0,1.0,4486.0,27.19,28.66,128551.0
33,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8210000.0,Pepino,36.0,28.0,8.0,484.0,17.29,22.15,10720.0
34,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8790000.0,Sorgo forrajero en verde,89.0,89.0,0.0,2414.0,27.12,2.03,4908.0
35,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8810000.0,Sorgo grano,359.0,359.0,0.0,1439.0,4.01,10.42,14990.0
36,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8970000.0,Tomate rojo (jitomate),28.0,26.0,2.0,240.0,9.23,18.5,4441.0
37,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,8980000.0,Tomate verde,42.0,42.0,0.0,685.0,16.31,27.59,18902.0
38,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,9050000.0,Trigo grano,7.0,7.0,0.0,18.0,2.57,13.11,236.0
39,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,1.0,Riego,200201.0,Tonelada,9270000.0,Zanahoria,7.0,7.0,0.0,192.0,27.43,15.2,2918.0
40,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,5490000.0,Avena forrajera en verde,5.0,5.0,0.0,15.0,3.0,1.8,27.0
41,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,6840000.0,Frijol,19168.0,17565.0,1603.0,3617.0,0.21,29.65,107240.0
42,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,7470000.0,Maíz forrajero en verde,689.0,689.0,0.0,12455.0,18.08,1.75,21746.0
43,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,7490000.0,Maíz grano,99472.0,86507.0,12965.0,50041.0,0.58,18.42,921755.0
44,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,8790000.0,Sorgo forrajero en verde,244.0,244.0,0.0,3918.0,16.06,4.0,15672.0
45,1983.0,1.0,Aguascalientes,2.0,Primavera-Verano,2.0,Temporal,200201.0,Tonelada,8810000.0,Sorgo grano,29.0,29.0,0.0,61.0,2.1,11.23,685.0
46,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,5060000.0,Aguacate,9.0,8.0,0.0,36.0,4.5,83.33,3000.0
47,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,5170000.0,Alfalfa verde,5588.0,5203.0,0.0,309753.0,59.53,1.59,493437.0
48,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,6020000.0,Chabacano,12.0,6.0,0.0,30.0,5.0,25.0,750.0
49,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,6530000.0,Durazno,1733.0,1226.0,0.0,12681.0,10.34,44.02,558256.0
50,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,7060000.0,Guayaba,7464.0,5041.0,0.0,87763.0,17.41,18.4,1615278.0
51,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,7690000.0,Membrillo,10.0,2.0,0.0,6.0,3.0,20.0,120.0
52,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,7960000.0,Nuez,165.0,85.0,0.0,61.0,0.72,134.82,8224.0
53,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,9130000.0,Uva,11427.0,7842.0,0.0,89532.0,11.42,17.51,1567616.0
54,1983.0,1.0,Aguascalientes,3.0,Perennes,1.0,Riego,200201.0,Tonelada,15050000.0,Pastos y praderas,471.0,471.0,0.0,14528.0,30.85,1.52,22083.0
55,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5070000.0,Ajo,131.0,107.0,24.0,850.0,7.94,50.0,42500.0
56,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5490000.0,Avena forrajera en verde,447.0,447.0,0.0,14692.0,32.87,1.2,17630.0
57,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5670000.0,Brócoli,14.0,14.0,0.0,108.0,7.71,14.55,1571.0
58,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5740000.0,Calabacita,464.0,358.0,106.0,4092.0,11.43,15.16,62039.0
59,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5870000.0,Cártamo,1797.0,1739.0,58.0,4219.0,2.43,24.68,104125.0
60,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5900000.0,Cebada forrajera en verde,1016.0,1016.0,0.0,15706.0,15.46,1.87,29355.0
61,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5920000.0,Cebada grano,17565.0,15713.0,1852.0,47395.0,3.02,12.67,600258.0
62,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,5940000.0,Cebolla,1410.0,1376.0,34.0,21442.0,15.58,31.29,670942.0
63,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6050000.0,Chayote,2.0,2.0,0.0,40.0,20.0,20.0,800.0
64,1983.0,2.0,Baja California,1.0,Otoño-Invierno,1.0,Riego,200201.0,Tonelada,6070000.0,Chícharo,75.0,73.0,2.0,118.0,1.62,29.68,3502.0
