,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1780.0,1770.0,10.0,15802.0,8.93,1234.72,19510982.0
1,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,22.0,22.0,0.0,44.0,2.0,800.0,35200.0
2,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2597.0,2597.0,0.0,59299.0,22.83,27.1,1606964.0
3,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,59.0,59.0,0.0,484.0,8.2,364.24,176290.0
4,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,6.0,6.0,0.0,36.0,6.0,90.0,3240.0
5,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,45.0,45.0,0.0,801.0,17.8,30.0,24030.0
6,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,86.0,86.0,0.0,1357.0,15.78,143.12,194215.0
7,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,22.0,10.0,12.0,40.0,4.0,500.0,20000.0
8,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,15.0,2.0,13.0,2.0,1.0,286.0,572.0
9,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),185.0,185.0,0.0,5694.0,30.78,142.61,812000.0
10,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,177.0,177.0,0.0,2595.0,14.66,386.39,1002690.0
11,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,124.0,124.0,0.0,1551.0,12.51,108.18,167790.0
12,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,67.0,66.0,1.0,207.0,3.14,325.19,67315.0
13,1988,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,8.0,8.0,0.0,131.0,16.38,122.44,16040.0
14,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5270000,Alpiste,14.0,14.0,0.0,28.0,2.0,1000.0,28000.0
15,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,26.0,26.0,0.0,501.0,19.27,21.96,11000.0
16,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,246.0,246.0,0.0,2613.0,10.62,396.76,1036725.0
17,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,124.0,120.0,4.0,1910.0,15.92,212.69,406240.0
18,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,16.0,16.0,0.0,195.0,12.19,292.31,57000.0
19,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,153.0,153.0,0.0,1954.0,12.77,281.45,549960.0
20,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,2.0,2.0,0.0,8.0,4.0,600.0,4800.0
21,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,2005.0,1991.0,14.0,10855.0,5.45,682.69,7410600.0
22,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,9.0,9.0,0.0,60.0,6.67,331.0,19860.0
23,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),80.0,80.0,0.0,2876.0,35.95,130.86,376350.0
24,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,5.0,5.0,0.0,99.0,19.8,212.12,21000.0
25,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,53.0,52.0,1.0,744.0,14.31,327.22,243450.0
26,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,3331.0,3325.0,6.0,3081.0,0.93,450.33,1387464.0
27,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,51.0,51.0,0.0,623.0,12.22,193.24,120390.0
28,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,5354.0,5354.0,0.0,215060.0,40.17,29.18,6275229.0
29,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,14486.0,14419.0,67.0,31021.0,2.15,341.26,10586132.0
30,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,391.0,391.0,0.0,6777.0,17.33,660.26,4474568.0
31,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,15.0,15.0,0.0,329.0,21.93,211.85,69700.0
32,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,125.0,125.0,0.0,5233.0,41.86,28.13,147210.0
33,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,653.0,653.0,0.0,3089.0,4.73,268.69,829981.0
34,1988,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),59.0,59.0,0.0,785.0,13.31,332.11,260710.0
